price,bed,bath,acre_lot,state,house_size,state_number
480000.0,3.0,3.0,0.08,Arizona,1648.0,1
932995.0,2.0,3.0,0.15,Arizona,2045.0,1
525000.0,5.0,3.0,0.14,Arizona,2616.0,1
315000.0,2.0,2.0,0.21,Arizona,1633.0,1
650000.0,4.0,3.0,0.21,Arizona,2577.0,1
232500.0,2.0,2.0,0.17,Arizona,1648.0,1
340000.0,3.0,2.0,3.11,Arizona,1580.0,1
2500000.0,5.0,6.0,2.01,Arizona,5353.0,1
375000.0,1.0,1.0,0.46,Arizona,1328.0,1
369900.0,4.0,2.0,0.14,Arizona,2178.0,1
109000.0,3.0,1.0,0.11,Arizona,1729.0,1
630000.0,2.0,3.0,0.16,Arizona,2119.0,1
280000.0,2.0,1.0,0.1,Arizona,942.0,1
1100100.0,6.0,5.0,0.21,Arizona,4350.0,1
479000.0,4.0,2.0,0.15,Arizona,1930.0,1
1600000.0,4.0,4.0,1.24,Arizona,3752.0,1
299500.0,3.0,3.0,0.09,Arizona,1804.0,1
535000.0,4.0,2.0,0.17,Arizona,2219.0,1
525000.0,2.0,2.0,0.03,Arizona,1261.0,1
839500.0,3.0,2.0,0.2,Arizona,2135.0,1
675000.0,4.0,3.0,0.16,Arizona,2487.0,1
459900.0,2.0,2.0,0.08,Arizona,1520.0,1
575000.0,3.0,2.0,0.18,Arizona,2123.0,1
297990.0,4.0,3.0,0.13,Arizona,1800.0,1
485000.0,3.0,2.0,0.23,Arizona,1299.0,1
635000.0,5.0,3.0,0.14,Arizona,3630.0,1
175000.0,3.0,2.0,0.16,Arizona,1120.0,1
410000.0,3.0,2.0,0.2,Arizona,1346.0,1
329000.0,2.0,2.0,0.02,Arizona,1138.0,1
369900.0,2.0,2.0,0.14,Arizona,1254.0,1
2495000.0,4.0,3.0,0.19,Arizona,3177.0,1
350000.0,3.0,2.0,0.19,Arizona,1507.0,1
350000.0,3.0,2.0,0.16,Arizona,1362.0,1
419000.0,4.0,1.0,0.14,Arizona,1377.0,1
215000.0,3.0,2.0,0.16,Arizona,1200.0,1
399000.0,2.0,2.0,0.15,Arizona,1585.0,1
281900.0,2.0,2.0,0.01,Arizona,1401.0,1
490623.0,3.0,2.0,0.12,Arizona,1932.0,1
479000.0,3.0,2.0,0.16,Arizona,2101.0,1
385000.0,2.0,2.0,0.09,Arizona,1228.0,1
435000.0,4.0,2.0,0.24,Arizona,1560.0,1
378000.0,3.0,2.0,0.21,Arizona,1680.0,1
410000.0,3.0,3.0,0.02,Arizona,1534.0,1
699900.0,3.0,2.0,0.25,Arizona,1722.0,1
334000.0,3.0,2.0,0.18,Arizona,1489.0,1
285000.0,2.0,2.0,0.15,Arizona,1322.0,1
299000.0,1.0,1.0,0.01,Arizona,562.0,1
349000.0,3.0,2.0,0.2,Arizona,1851.0,1
274900.0,3.0,2.0,0.19,Arizona,1755.0,1
480000.0,3.0,2.0,0.16,Arizona,1631.0,1
399900.0,4.0,2.0,0.19,Arizona,1555.0,1
230000.0,2.0,1.0,0.17,Arizona,1050.0,1
255000.0,3.0,2.0,0.11,Arizona,1212.0,1
520000.0,3.0,2.0,0.13,Arizona,1638.0,1
1200000.0,4.0,3.0,0.21,Arizona,2656.0,1
450000.0,4.0,2.0,0.23,Arizona,1584.0,1
397900.0,4.0,2.0,0.15,Arizona,1934.0,1
310000.0,2.0,2.0,82.0,Arizona,864.0,1
575000.0,2.0,3.0,0.12,Arizona,1749.0,1
1047000.0,4.0,5.0,0.06,Arizona,3618.0,1
506000.0,3.0,2.0,0.32,Arizona,1698.0,1
539000.0,2.0,3.0,0.13,Arizona,1788.0,1
426000.0,3.0,2.0,0.17,Arizona,1873.0,1
415000.0,3.0,2.0,0.22,Arizona,1538.0,1
525000.0,3.0,2.0,0.26,Arizona,1496.0,1
235000.0,3.0,2.0,0.11,Arizona,1196.0,1
410000.0,4.0,2.0,0.89,Arizona,1914.0,1
550000.0,4.0,2.0,5.0,Arizona,1876.0,1
440000.0,4.0,2.0,0.16,Arizona,2088.0,1
299000.0,3.0,2.0,0.21,Arizona,1403.0,1
342000.0,3.0,2.0,0.22,Arizona,1696.0,1
