price,bed,bath,acre_lot,house_size,state_number
480000.0,3.0,3.0,0.08,1648.0,1
932995.0,2.0,3.0,0.15,2045.0,1
525000.0,5.0,3.0,0.14,2616.0,1
315000.0,2.0,2.0,0.21,1633.0,1
650000.0,4.0,3.0,0.21,2577.0,1
232500.0,2.0,2.0,0.17,1648.0,1
340000.0,3.0,2.0,3.11,1580.0,1
2500000.0,5.0,6.0,2.01,5353.0,1
375000.0,1.0,1.0,0.46,1328.0,1
369900.0,4.0,2.0,0.14,2178.0,1
109000.0,3.0,1.0,0.11,1729.0,1
630000.0,2.0,3.0,0.16,2119.0,1
280000.0,2.0,1.0,0.1,942.0,1
1100100.0,6.0,5.0,0.21,4350.0,1
479000.0,4.0,2.0,0.15,1930.0,1
1600000.0,4.0,4.0,1.24,3752.0,1
299500.0,3.0,3.0,0.09,1804.0,1
535000.0,4.0,2.0,0.17,2219.0,1
525000.0,2.0,2.0,0.03,1261.0,1
839500.0,3.0,2.0,0.2,2135.0,1
675000.0,4.0,3.0,0.16,2487.0,1
459900.0,2.0,2.0,0.08,1520.0,1
575000.0,3.0,2.0,0.18,2123.0,1
297990.0,4.0,3.0,0.13,1800.0,1
485000.0,3.0,2.0,0.23,1299.0,1
635000.0,5.0,3.0,0.14,3630.0,1
175000.0,3.0,2.0,0.16,1120.0,1
410000.0,3.0,2.0,0.2,1346.0,1
329000.0,2.0,2.0,0.02,1138.0,1
369900.0,2.0,2.0,0.14,1254.0,1
2495000.0,4.0,3.0,0.19,3177.0,1
350000.0,3.0,2.0,0.19,1507.0,1
350000.0,3.0,2.0,0.16,1362.0,1
419000.0,4.0,1.0,0.14,1377.0,1
215000.0,3.0,2.0,0.16,1200.0,1
399000.0,2.0,2.0,0.15,1585.0,1
281900.0,2.0,2.0,0.01,1401.0,1
490623.0,3.0,2.0,0.12,1932.0,1
479000.0,3.0,2.0,0.16,2101.0,1
385000.0,2.0,2.0,0.09,1228.0,1
435000.0,4.0,2.0,0.24,1560.0,1
378000.0,3.0,2.0,0.21,1680.0,1
410000.0,3.0,3.0,0.02,1534.0,1
699900.0,3.0,2.0,0.25,1722.0,1
334000.0,3.0,2.0,0.18,1489.0,1
285000.0,2.0,2.0,0.15,1322.0,1
299000.0,1.0,1.0,0.01,562.0,1
349000.0,3.0,2.0,0.2,1851.0,1
274900.0,3.0,2.0,0.19,1755.0,1
480000.0,3.0,2.0,0.16,1631.0,1
399900.0,4.0,2.0,0.19,1555.0,1
230000.0,2.0,1.0,0.17,1050.0,1
255000.0,3.0,2.0,0.11,1212.0,1
